100009,Beckford Primary School,417,Pri2LSOA_Flow19,E01000969,Camden 010A,4
100009,Beckford Primary School,417,Pri2LSOA_Flow20,E01000968,Camden 016E,4
100009,Beckford Primary School,417,Pri2LSOA_Flow21,E01000960,Camden 017A,4
100009,Beckford Primary School,417,Pri2LSOA_Flow22,E01000932,Camden 013D,4
100009,Beckford Primary School,417,Pri2LSOA_Flow23,E01000642,Brent 022D,4
100009,Beckford Primary School,417,Pri2LSOA_Flow24,E01000559,Brent 018E,4
100009,Beckford Primary School,417,Pri2LSOA_Flow25,E01000558,Brent 015F,4
100009,Beckford Primary School,417,Pri2LSOA_Flow26,E01000142,Barnet 040B,3
100009,Beckford Primary School,417,Pri2LSOA_Flow27,E01000502,Brent 011D,3
100009,Beckford Primary School,417,Pri2LSOA_Flow28,E01000854,Camden 026D,3
100009,Beckford Primary School,417,Pri2LSOA_Flow29,E01000930,Camden 020B,3
100009,Beckford Primary School,417,Pri2LSOA_Flow30,E01000961,Camden 017B,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow1,E01000868,Camden 015D,47
100010,Brecknock Primary School,369,Pri2LSOA_Flow2,E01000869,Camden 015E,34
100010,Brecknock Primary School,369,Pri2LSOA_Flow3,E01000864,Camden 015A,26
100010,Brecknock Primary School,369,Pri2LSOA_Flow4,E01002766,Islington 015E,25
100010,Brecknock Primary School,369,Pri2LSOA_Flow5,E01000867,Camden 015C,21
100010,Brecknock Primary School,369,Pri2LSOA_Flow6,E01000957,Camden 019C,21
100010,Brecknock Primary School,369,Pri2LSOA_Flow7,E01000953,Camden 022B,19
100010,Brecknock Primary School,369,Pri2LSOA_Flow8,E01002765,Islington 015D,13
100010,Brecknock Primary School,369,Pri2LSOA_Flow9,E01002764,Islington 010A,12
100010,Brecknock Primary School,369,Pri2LSOA_Flow10,E01000865,Camden 015B,8
100010,Brecknock Primary School,369,Pri2LSOA_Flow11,E01000866,Camden 009A,8
100010,Brecknock Primary School,369,Pri2LSOA_Flow12,E01000925,Camden 009D,8
100010,Brecknock Primary School,369,Pri2LSOA_Flow13,E01000926,Camden 009E,8
100010,Brecknock Primary School,369,Pri2LSOA_Flow14,E01002783,Islington 010B,8
100010,Brecknock Primary School,369,Pri2LSOA_Flow15,E01000924,Camden 009C,6
100010,Brecknock Primary School,369,Pri2LSOA_Flow16,E01000958,Camden 019D,6
100010,Brecknock Primary School,369,Pri2LSOA_Flow17,E01000954,Camden 022C,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow18,E01000928,Camden 003E,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow19,E01000927,Camden 007F,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow20,E01000922,Camden 007E,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow21,E01000921,Camden 003C,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow22,E01000905,Camden 012D,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow23,E01000856,Camden 019A,4
100010,Brecknock Primary School,369,Pri2LSOA_Flow24,E01000870,Camden 009B,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow25,E01000889,Camden 007A,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow26,E01000923,Camden 003D,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow27,E01000955,Camden 022D,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow28,E01000956,Camden 022E,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow29,E01000960,Camden 017A,3
100010,Brecknock Primary School,369,Pri2LSOA_Flow30,E01002784,Islington 010C,3
100011,Brookfield Primary School,416,Pri2LSOA_Flow1,E01000907,Camden 001A,78
100011,Brookfield Primary School,416,Pri2LSOA_Flow2,E01000911,Camden 003B,65
100011,Brookfield Primary School,416,Pri2LSOA_Flow3,E01000908,Camden 001B,50
100011,Brookfield Primary School,416,Pri2LSOA_Flow4,E01000909,Camden 001C,44
100011,Brookfield Primary School,416,Pri2LSOA_Flow5,E01000910,Camden 003A,37
100011,Brookfield Primary School,416,Pri2LSOA_Flow6,E01002771,Islington 004C,24
